Ticker,P/L,OpenRet,HighRet,LowRet,CloseRet,pnl
1517,profit,6.43%,7.14%,3.75%,3.93%,1628
1526,profit,1.38%,4.99%,-1.89%,-0.52%,755
2028,profit,0.31%,2.15%,-4.91%,-4.6%,456
2340,profit,0.34%,1.85%,-4.03%,-3.53%,374
2453,profit,-0.37%,2.58%,-4.06%,-2.95%,339
3038,loss,1.14%,1.36%,-2.73%,-2.27%,-626
3058,profit,1.87%,7.24%,1.87%,2.1%,274
3530,profit,1.47%,2.21%,-7.72%,-6.62%,1693
3550,profit,1.23%,3.19%,-3.19%,-3.19%,278
3624,profit,1.87%,1.87%,-5.62%,-5.33%,444
5344,loss,-7.27%,-1.75%,-7.27%,-7.27%,-1559
6127,profit,0.3%,7.25%,-1.81%,-0.3%,453
6182,profit,1.44%,8.44%,-1.95%,-0.82%,661
6240,profit,1.14%,3.12%,-2.56%,-0.28%,245
8059,profit,2.33%,2.71%,-2.33%,-2.33%,223
8121,loss,0.0%,0.92%,-6.67%,-5.75%,-625
total,81.25%,,,,0.89%,5013,563900.0
